iteration,elapsed_seconds
0,2.066e-06
1,6.357e-06
2,7.186e-06
3,7.874e-06
4,8.514e-06
5,9.297e-06
6,9.959e-06
7,1.0613e-05
8,1.1228e-05
9,1.1918e-05
10,1.2551e-05
11,1.32e-05
12,1.3811e-05
13,1.4435e-05
14,1.5171e-05
15,1.5772e-05
16,1.6381e-05
17,1.7062e-05
18,1.7677e-05
19,1.8291e-05
20,1.8901e-05
21,1.951e-05
22,2.0118e-05
23,2.0724e-05
24,2.1332e-05
25,2.1999e-05
26,2.2633e-05
27,2.3273e-05
28,2.3874e-05
29,2.448e-05
30,2.5085e-05
31,2.5698e-05
32,2.6318e-05
33,2.9139e-05
34,2.9787e-05
35,3.0406e-05
36,3.1026e-05
37,3.1638e-05
38,3.2251e-05
39,3.2861e-05
40,3.3467e-05
41,3.4156e-05
42,3.4785e-05
43,3.5393e-05
44,3.6007e-05
45,3.6616e-05
46,3.7231e-05
47,3.7835e-05
48,3.8447e-05
49,3.9071e-05
50,3.9681e-05
51,4.029e-05
52,4.0897e-05
53,4.1605e-05
54,4.2216e-05
55,4.2828e-05
56,4.3438e-05
57,4.4046e-05
58,4.4661e-05
59,4.5271e-05
60,4.588e-05
61,4.65e-05
62,4.7105e-05
63,4.7717e-05
64,4.8324e-05
65,4.9052e-05
66,4.966e-05
67,5.0285e-05
68,5.0919e-05
69,5.1523e-05
70,5.2131e-05
71,5.2738e-05
72,5.3347e-05
73,5.3964e-05
74,5.4572e-05
75,5.5179e-05
76,5.5791e-05
77,5.6699e-05
78,5.7318e-05
79,5.7945e-05
80,5.8562e-05
81,5.9248e-05
82,5.9861e-05
83,6.0487e-05
84,6.1101e-05
85,6.1713e-05
86,6.232e-05
87,6.2927e-05
88,6.3533e-05
89,6.414e-05
90,6.4747e-05
91,6.5357e-05
92,6.5971e-05
93,6.6738e-05
94,6.7347e-05
95,6.8009e-05
96,7.0238e-05
97,7.0879e-05
98,7.1499e-05
99,7.2113e-05
100,7.2731e-05
101,7.3344e-05
102,7.3948e-05
103,7.4558e-05
104,7.5165e-05
105,7.5777e-05
106,7.6384e-05
107,7.7004e-05
108,7.7641e-05
109,7.8301e-05
110,7.8914e-05
111,7.9531e-05
112,8.0141e-05
113,8.0751e-05
114,8.1379e-05
115,8.2007e-05
116,8.2614e-05
117,8.3234e-05
118,8.3847e-05
119,8.4461e-05
120,8.5127e-05
121,8.7547e-05
122,8.8227e-05
123,8.8873e-05
124,8.9491e-05
125,9.0111e-05
126,9.0772e-05
127,9.1389e-05
128,9.2027e-05
129,9.2714e-05
130,9.3381e-05
131,9.4046e-05
132,9.4661e-05
133,9.5284e-05
134,9.5914e-05
135,9.6541e-05
136,9.7182e-05
137,9.7814e-05
138,9.8463e-05
139,9.9078e-05
140,9.9694e-05
141,0.000100318
142,0.000100927
143,0.000101531
144,0.000102139
145,0.000102758
146,0.000103367
147,0.000103973
148,0.0001046
149,0.000105259
150,0.000105891
151,0.000106519
152,0.000107146
153,0.000107774
154,0.000108404
155,0.000109019
156,0.000109649
157,0.000110277
158,0.000110911
159,0.000113237
160,0.00011389
161,0.000114508
162,0.000115124
163,0.00011576
164,0.000116383
165,0.000117004
166,0.000117623
167,0.000118244
168,0.000118882
169,0.0001195
170,0.000120124
171,0.000120737
172,0.000121347
173,0.000122006
174,0.00012262
175,0.000123227
176,0.000123838
177,0.000124451
178,0.000125062
179,0.000125673
180,0.000126304
181,0.00012692
182,0.000127533
183,0.00012818
184,0.000128804
185,0.000129433
186,0.000130068
187,0.0001307
188,0.000131333
189,0.000131946
190,0.00013258
191,0.000133205
192,0.000133837
193,0.000134466
194,0.000135111
195,0.000135747
196,0.000136373
197,0.000136997
198,0.000137604
199,0.000138211
200,0.00013882
201,0.000139578
202,0.000140216
203,0.000140833
204,0.000141458
205,0.000142077
206,0.000142722
207,0.000143359
208,0.000143974
209,0.000144613
210,0.000145244
211,0.000145864
212,0.000146484
213,0.000147109
214,0.00014774
215,0.000148364
216,0.000148992
217,0.000149694
218,0.000150328
219,0.000150949
220,0.000151573
221,0.000152224
222,0.000154291
223,0.000154917
224,0.000155539
225,0.000156224
226,0.00015686
