iteration,elapsed_seconds
0,1.167e-06
1,3.292e-06
2,4.167e-06
3,4.75e-06
4,4.917e-06
5,5.208e-06
6,5.458e-06
7,5.625e-06
8,5.75e-06
9,6e-06
10,6.167e-06
11,6.333e-06
12,6.5e-06
13,6.625e-06
14,6.75e-06
15,6.875e-06
16,7e-06
17,7.25e-06
18,7.417e-06
19,7.583e-06
20,7.667e-06
21,7.833e-06
22,7.958e-06
23,8.125e-06
24,8.25e-06
25,8.458e-06
26,8.583e-06
27,8.708e-06
28,8.833e-06
29,8.917e-06
30,9.125e-06
31,9.292e-06
32,9.458e-06
33,9.667e-06
34,9.75e-06
35,9.875e-06
36,1e-05
37,1.0125e-05
38,1.0292e-05
39,1.0458e-05
40,1.0583e-05
41,1.0875e-05
42,1.1e-05
43,1.1125e-05
44,1.1292e-05
45,1.1458e-05
46,1.1583e-05
47,1.1708e-05
48,1.1792e-05
49,1.1958e-05
50,1.2083e-05
51,1.225e-05
52,1.2375e-05
53,1.2708e-05
54,1.2875e-05
55,1.3e-05
56,1.3083e-05
57,1.3208e-05
58,1.3375e-05
59,1.3542e-05
60,1.3667e-05
61,1.3833e-05
62,1.3958e-05
63,1.4083e-05
64,1.4167e-05
65,1.4667e-05
66,1.4833e-05
67,1.4958e-05
68,1.5083e-05
69,1.5208e-05
70,1.5333e-05
71,1.5458e-05
72,1.5583e-05
73,1.575e-05
74,1.5875e-05
75,1.5958e-05
76,1.6083e-05
77,1.6792e-05
78,1.7e-05
79,1.7125e-05
80,1.725e-05
81,1.7375e-05
82,1.75e-05
83,1.7583e-05
84,1.7708e-05
85,1.7875e-05
86,1.8083e-05
87,1.8208e-05
88,1.8333e-05
89,1.85e-05
90,1.8625e-05
91,1.875e-05
92,1.8917e-05
93,1.9292e-05
94,1.9458e-05
95,1.9583e-05
96,1.9708e-05
97,1.9833e-05
98,2e-05
99,2.0167e-05
100,2.0333e-05
101,2.0458e-05
102,2.0583e-05
103,2.0708e-05
104,2.0833e-05
105,2.1e-05
106,2.1167e-05
107,2.1333e-05
108,2.1458e-05
109,2.2042e-05
110,2.2208e-05
111,2.2375e-05
112,2.2583e-05
113,2.4458e-05
114,2.4625e-05
115,2.475e-05
116,2.4875e-05
117,2.5e-05
118,2.5125e-05
119,2.525e-05
120,2.5375e-05
121,2.5542e-05
122,2.5708e-05
123,2.5833e-05
124,2.5958e-05
125,2.6042e-05
126,2.6208e-05
127,2.6333e-05
128,2.65e-05
129,2.6917e-05
130,2.7083e-05
131,2.7208e-05
132,2.7333e-05
133,2.7458e-05
134,2.7583e-05
135,2.775e-05
136,2.7875e-05
137,2.8e-05
138,2.8125e-05
139,2.8208e-05
140,2.8333e-05
141,2.85e-05
142,2.8667e-05
143,2.8792e-05
144,2.8958e-05
145,2.9083e-05
146,2.9208e-05
147,2.9292e-05
148,2.95e-05
149,2.975e-05
150,2.9875e-05
151,3e-05
152,3.0125e-05
153,3.0208e-05
154,3.0375e-05
155,3.0542e-05
156,3.0708e-05
157,3.0833e-05
158,3.0958e-05
159,3.1083e-05
160,3.1167e-05
161,3.1375e-05
162,3.1542e-05
163,3.1708e-05
164,3.1833e-05
165,3.1917e-05
166,3.2083e-05
167,3.2208e-05
168,3.2375e-05
169,3.25e-05
170,3.2625e-05
171,3.275e-05
172,3.2875e-05
173,3.3417e-05
174,3.3625e-05
175,3.375e-05
176,3.3875e-05
177,3.4e-05
178,3.4125e-05
179,3.4208e-05
180,3.4333e-05
181,3.45e-05
182,3.4667e-05
183,3.4833e-05
184,3.4917e-05
185,3.5083e-05
186,3.5208e-05
187,3.5333e-05
188,3.5458e-05
189,3.5625e-05
190,3.575e-05
191,3.5875e-05
192,3.6e-05
193,3.6125e-05
194,3.6208e-05
195,3.6375e-05
196,3.6542e-05
197,3.6667e-05
198,3.6833e-05
199,3.6958e-05
200,3.7083e-05
201,3.725e-05
202,3.7417e-05
203,3.7583e-05
204,3.7708e-05
205,3.7833e-05
206,3.7958e-05
207,3.8083e-05
208,3.8208e-05
209,3.8333e-05
210,3.85e-05
211,3.8625e-05
212,3.875e-05
213,3.8833e-05
214,3.9e-05
215,3.9083e-05
216,3.925e-05
217,3.9417e-05
218,3.9542e-05
219,3.9708e-05
220,3.9833e-05
221,3.9958e-05
222,4.0083e-05
223,4.0292e-05
224,4.0458e-05
225,4.0583e-05
226,4.0708e-05
227,4.0833e-05
228,4.0958e-05
229,4.1083e-05
230,4.125e-05
231,4.1417e-05
232,4.1583e-05
233,4.175e-05
234,4.1875e-05
235,4.2e-05
236,4.2167e-05
237,4.2333e-05
238,4.2458e-05
239,4.2583e-05
240,4.2708e-05
241,4.2833e-05
242,4.2958e-05
243,4.3125e-05
244,4.325e-05
245,4.3375e-05
246,4.35e-05
247,4.3625e-05
248,4.375e-05
249,4.3875e-05
250,4.4042e-05
251,4.4208e-05
252,4.4333e-05
253,4.45e-05
254,4.6042e-05
255,4.6292e-05
256,4.65e-05
257,4.675e-05
258,4.7042e-05
259,4.7333e-05
260,4.7458e-05
261,4.7625e-05
262,4.7833e-05
263,4.7958e-05
264,4.8083e-05
265,4.8208e-05
266,4.8333e-05
267,4.85e-05
268,4.8667e-05
269,4.8917e-05
270,4.9083e-05
271,4.925e-05
272,4.9417e-05
273,4.9625e-05
274,4.9833e-05
275,4.9958e-05
276,5.0083e-05
277,5.0208e-05
278,5.0333e-05
279,5.05e-05
280,5.0667e-05
281,5.0833e-05
282,5.0958e-05
283,5.1083e-05
284,5.1208e-05
285,5.1375e-05
286,5.1542e-05
287,5.1708e-05
288,5.1833e-05
289,5.1958e-05
290,5.2083e-05
291,5.2208e-05
292,5.2375e-05
293,5.2542e-05
294,5.2708e-05
295,5.2875e-05
296,5.3e-05
297,5.3125e-05
298,5.3292e-05
299,5.35e-05
300,5.3625e-05
301,5.375e-05
302,5.3875e-05
